Experimental Tm Analysis,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8001246,,,,,,,
Software Version:,,,"2.0,  Build 83",,,,,,,
Firmware Version:,,,2.0.081,,,,,,,
Method Name:,,,HP3,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap3s Melt 1 022007.dux,,,,,,,
Date Acquired:,,,"February 20, 2007 9:16 AM",,,,,,,
,,,,,,,,,,
Analytical Wavelength:,,,280.0 nm,,,,,,,
Second Wavelength:,,,280.0 nm,,,,,,,
Use of 2nd WL:,,,None,,,,,,,
Calc Mode:,,,First Derivative,,,,,,,
96.7,,0.0081,,2.2055,,2.5253,,0.9147,,
97.2,,0.0082,,2.2116,,2.5654,,0.9159,,
97.8,,0.0083,,2.2178,,2.5653,,0.9168,,
98.3,,0.0083,,2.2241,,2.5652,,0.9177,,
98.6,,0.0083,,2.2305,,2.5942,,0.9189,,
99.3,,0.0084,,2.2369,,2.5941,,0.9194,,
99.8,,0.0085,,2.2368,,2.6092,,0.9203,,
100.1,,0.0086,,2.257,,2.6414,,0.9218,,
100.6,,0.0087,,2.2639,,2.6413,,0.9234,,
101,,0.0088,,2.2708,,2.6759,,0.9232,,
101.3,,0.0088,,2.2852,,2.6943,,0.9244,,
101.7,,0.0088,,2.2926,,2.7136,,0.9244,,
101.9,,0.0089,,2.2926,,2.6758,,0.9251,,
102.1,,0.0089,,2.3001,,2.7338,,0.9257,,
102.2,,0.0091,,2.2999,,2.7134,,0.9264,,
102.4,,0.0091,,2.3234,,2.7547,,0.9264,,
102.4,,0.0093,,2.3396,,2.8003,,0.9285,,
102.6,,0.0094,,2.348,,2.8003,,0.9284,,
,,,,,,,,,,
RESULT DATA -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm,,,,,,,,,,
,,,,,,,,,,
Cell,,Assignment,,Sample ID,,Solvent,,Salt Conc,,DNA Length
1,,Blank,,1,,Buffer,,0.0001,,20
2,,Sample,,2,,Buffer,,0.0001,,20
3,,Sample,,3,,Buffer,,0.0001,,20
4,,Sample,,4,,Buffer,,0.0001,,20
5,,Not Used,,5,,Buffer,,0.0001,,20
6,,Not Used,,6,,Buffer,,0.0001,,20
,,,,,,,,,,
,,,,,,,,,,
Sample ID,,Start Temp(�C),,End Temp(�C),,Tm(�C),,,,
2,,30,,110,,100.6,,,,
3,,30,,110,,101,,,,
4,,30,,110,,72.3,,,,
,,,,,,,,,,
ANALYTICAL ABSORBANCES @ 280.0 nm,,,,,,,,,,
  ,,,,,,,,,,
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4,,
(�C),,Abs,,Abs,,Abs,,Abs,,
 ,, ,, ,, ,, ,,
30,,0.0027,,1.5334,,1.7468,,0.7187,,
30.3,,0.0044,,1.5373,,1.751,,0.7213,,
30.8,,0.0058,,1.5451,,1.7574,,0.7243,,
