Sample,Pathlength,Temperature,Absorbance, ,, ,, 
3,0.5,42.2,0.7166,,,,,
3,0.5,42.7,0.7187,,,,,
3,0.5,43.2,0.7206,,,,,
3,0.5,43.7,0.7229,,,,,
3,0.5,44.2,0.725,,,,,
3,0.5,44.7,0.7269,,,,,
3,0.5,45.2,0.7288,,,,,
3,0.5,45.6,0.7305,,,,,
3,0.5,46.1,0.7327,,,,,
3,0.5,46.7,0.7342,,,,,
3,0.5,47.2,0.7359,,,,,
3,0.5,47.7,0.7381,,,,,
3,0.5,48.1,0.7392,,,,,
3,0.5,48.6,0.7409,,,,,
3,0.5,49.1,0.7425,,,,,
3,0.5,49.6,0.7436,,,,,
3,0.5,50.1,0.7447,,,,,
3,0.5,50.6,0.7456,,,,,
3,0.5,51.1,0.7467,,,,,
3,0.5,51.6,0.7478,,,,,
3,0.5,52.1,0.7485,,,,,
3,0.5,52.7,0.7496,,,,,
3,0.5,53.1,0.7502,,,,,
3,0.5,53.6,0.7509,,,,,
3,0.5,54.1,0.7516,,,,,
3,0.5,54.6,0.7523,,,,,
3,0.5,55.1,0.7529,,,,,
3,0.5,55.6,0.7534,,,,,
3,0.5,56.1,0.7543,,,,,
3,0.5,56.6,0.7545,,,,,
3,0.5,57.1,0.7547,,,,,
3,0.5,57.6,0.7552,,,,,
3,0.5,58.1,0.7554,,,,,
3,0.5,58.6,0.7559,,,,,
3,0.5,59.1,0.7561,,,,,
3,0.5,59.5,0.7563,,,,,
3,0.5,60,0.7566,,,,,
3,0.5,60.6,0.7568,,,,,
3,0.5,61,0.757,,,,,
3,0.5,61.5,0.757,,,,,
3,0.5,62,0.7575,,,,,
3,0.5,62.6,0.7577,,,,,
3,0.5,63,0.7579,,,,,
3,0.5,63.5,0.7582,,,,,
3,0.5,64.1,0.7579,,,,,
3,0.5,64.5,0.7579,,,,,
3,0.5,65,0.7584,,,,,
3,0.5,65.5,0.7563,,,,,
3,0.5,66,0.7561,,,,,
